First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Ellen,Canfil,Law Clerk,1,Reagan
Douglas,Cannon,"Senior Litigation Counsel, MDNC",27,"Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Cannon,Trial Attorney,2,Carter
Rachel,Cannon,Assistant United States Attorney,12,"Obama, Bush II"
Bennett,Capers,Assistant United States Attorney,9,"Bush II, Clinton"
David,Capes,Assistant United States Attorney,5,"Carter, Ford, Nixon"
June,Carbone,"Trial Attorney, Civil Division",5,"Reagan, Carter"
thomas,Carey,"Supervisory Special Agent/Section Chief,FBI",20,"Bush II, Clinton, Bush I, Reagan"
Brenda,Carleton,Special Assistant to Assistant Attorney General ATR,11,"Bush II, Clinton, Bush I"
John,Carlton,"Chief, Criminal Complaints, USAO CDCA",11,"Clinton, Bush I, Reagan"
Tom,Carlucci,Assistant United States Attorney,13,"Bush II, Clinton, Bush I"
Mary Elizabeth ,Carmody ,Senior Litigation Counsel ,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Debra,Carnahan,Assistant United States Attorney,3,Clinton
Charles,Carnese,Assistant United States Attorney,3,"Ford, Nixon"
Veta,Carney,Senior Trial Attorney,10,"Reagan, Carter"
Matthew,Carney,Supervisory Attorney Advisor,22,"Obama, Bush II, Clinton, Bush I"
Julia,Caroff,"Senior Litigation Counsel, Civil Division, USAO EDMI",27,"Trump, Obama, Bush II, Clinton"
Elizabeth ,Carpenter,Assistant United States Attorney,9,"Obama, Bush II"
Gilbert,Carrasco,Special Assistant to the Deputy Assistant Attorney General,4,"Reagan, Carter"
Steven,Carroll,"Assistant Chief, Indian Resources Section, ENRD",27,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Bruce,Carter,"Chief, Economic Crime Unit, W.D. WA",30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
William,Carter,Assistant United States Attorney,14,"Bush II, Clinton, Bush I"
Margaret,Carter,Assistant United States Attorney,8,"Obama, Bush II"
Zachary,Carter,"United States Attorney, EDNY",10,"Clinton, Carter, Ford"
Debora,Caruth,"Associate Director, Office of International Affairs",23,"Obama, Bush II, Clinton, Bush I"
Peter,Casey,"Special Attorney OC&R, Assistant United States Attorney, District of CT",8,"Carter, Ford, Nixon"
Eugene,Casey,"Unit Chief, Criminal Investigative Div. - FBI",21,"Trump, Obama, Bush II, Clinton"
Christopher ,Casey,Deputy Associate Attorney General ,9,"Obama, Bush II, Clinton"
Rosemary ,Casey Meyers,Supervisory Assistant United States Attorney,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Stefan,Cassella,Deputy Section Chief,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Daniel,Cassidy,"Senior Trial Attorney, DOJ, Narcotic & Dangerous Drug Section",20,"Bush II, Clinton, Bush I, Reagan"
Kevin,Cassidy,Senior Trial Attorney,8,"Obama, Bush II"
Carol,Casto,United States Attorney ,30,"Trump, Obama, Bush II, Clinton, Bush I"
Melchor,Castro,Assistant United States Attorney WDNY,4,Reagan
John,Caudill,Assistant United States Attorney for Western District of Kentucky,16,"Bush II, Clinton, Bush I"
Marvin,Caughman,"Deputy Chief, Criminal Division, USAO, DSC",33,"Bush II, Clinton, Bush I, Reagan, Carter"
Michael (“Mac”),Cauley,"United States Attorney, Middle District ofFlorida",39,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
William,Causey,"Assistant Counsel, Office of Professional Responsibility",3,Bush II
Elizabeth,Cavendish,"Attorney-Advisor, Office of Legal Counsel",5,"Clinton, Bush I"
Jeannie,Cervera ,"Assistant Regional Counsel, Region IX",14,"Clinton, Bush I"
Eric,Chaffin,Assistant United States Attorney for the Southern District of New York,4,"Bush II, Clinton"
David,Chaiken,Assistant United States Attorney,9,"Obama, Bush II"
A. Nathaniel,Chakeres,Trial Attorney,6,Obama
Leona,Chamberlin,"Assistant United States Attorney, SDNY",6,"Reagan, Carter"
Christopher ,Chambers,"Trial Attorney, Environmental Enforcement ",3,"Bush II, Clinton"
Felicia ,Chambers ,Senior Trial Counsel,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Subodh,Chandra,Assistant United States Attorney,3.5,"Bush II, Clinton"
Teofilo,Chapa,Immigration Judge,25,"Trump, Obama, Bush II, Clinton"
Linda,Chapman,Assistant United States Attorney,12,"Bush I, Reagan, Carter"
James,Chapman,Assistant United States Attorney,32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Jonathan,Chapman,Criminal Chief District of Maine,32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Sean,Chapman,Assistant United States Attorney,7,"Bush II, Clinton"
Jeffrey,Chase,Immigration Judge,22,"Trump, Obama, Bush II, Clinton"
Carol,Chase,Assistant United States Attirney,4,Reagan
Sarah,Chasson,Assistant United States Attorney,14,"Obama, Bush II"
Raja,Chatterjee,Trial Attorney,5,"Bush II, Clinton"
Vicki,Cheikes,"Senior Trial Attorney, Tax Division, Northern Region",10,"Reagan, Carter"
Hui,Chen,Assistant United States Attorney,7,"Obama, Clinton, Bush I"
Ernest ,Chen ,"Special Attorney, Organized Crime Section ",5,"Carter, Ford"
Christine ,Chenevert ,Assistant United States Attorney,1,Reagan
Kenneth,Chernof,Deputy Associate Attorney General,2,Clinton
George,Chew,Immigration Judge,22,"Trump, Obama, Bush II, Clinton, Bush I"
Patriccia,Chick,Senior Trial Attorney,28,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Rockne,Chickinell,"General Counsel, U.S. Parole Commission",39,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Mark,Chidichimo,"Supervisory Special Agent, FBI",28,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Heather,Childs,Associate Deputy Attorney General and Chief of Staff to the Deputy Attorney General,10,"Obama, Bush II"
Ronald,Chillemi,Assistant United States Attorney,9,"Obama, Bush II"
Lily,Chinn,Trial Attorney,7.8,"Bush II, Clinton"
Nanda,Chitre,"Acting Director, Office of Public Affairs",4,"Obama, Bush I, Reagan"
Arthur,Chotin,Senior Trial Attorney,4,"Nixon, Johnson"
Betsy,Chotin,Research Analyst,4,"Nixon, Johnson"
Michael ,Christensen,Assistant United States Attorney,20,"Bush II, Clinton, Bush I, Reagan"
Carlie,Christensen,United States Attorney (Interim),25,"Obama, Bush II, Clinton, Bush I"
Edward,Chung,Senior Advisor,11,"Obama, Bush II"
Christine ,Chung,"Chief of Appeals, SDNY",12,"Bush II, Clinton, Bush I"
Edward,Cincinnati,"Assistant Director, Executive Office for United States Trustees",25,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Linda,Cinciotta,"Senior Counsel for Alternative Dispute Resolution, Office of the Associate Attorney General ",30,"Bush II, Clinton, Bush I, Reagan, Johnson, Kennedy"
William T.,Clabault,Senior Litigation Counsel Criminal Division,38.3,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Jeffrey,Clair,"Senior Counsel, Appellate Staff/Civil Division",32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Melanca,Clark,Chief of Staff,6,Obama
Mary Frances,Clark,"Appellate Attorney, Tax Division",15,"Clinton, Bush I, Reagan, Carter"
Burney,Clark (Huber),Senior Trial Attorney,34,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Kristen,Clarke,"Federal Prosecutor, Civil Rights Division",5,"Bush II, Clinton"
Marianna,Clay,First Assistant ,31,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Charles,Clayman,Assistant United States Attorney,4,"Ford, Nixon"
Kimberly Reiley,Clement,Assistant United States Attorney,5,"Reagan, Carter"
Dan,Clement,Assistant United States Attorney,6,"Reagan, Carter"
Ben,Clements,Assistant United States Attorney,7,Clinton
Melford,Cleveland,Assistant Section Chief and special projects counsel,18,"Nixon, Johnson, Kennedy"
Marvin,Coan,Trial Attorney Civil Division,4,"Carter, Ford"
John (“Sean”),Coffey,"Assistant United States Attorney, SDNY",3,"Clinton, Bush I"
Tristram,Coffin,United States Attorney,17,"Obama, Bush II, Clinton"
Thomas,Coffin,Chief of the Criminal Division Southern District of California ,21,"Bush I, Reagan, Carter, Ford, Nixon"
Barbara,Cohan-Saavedra,Assistant United States Attorney / OCDETF,24,"Bush II, Clinton, Bush I, Reagan"
Matthew,Cohen,Associate Deputy Attorney General,13,"Obama, Bush II"
Derek,Cohen,"Deputy Chief, Fraud Section",9.5,"Obama, Bush II"
Sanford,Cohen,"Assistant United States Attorney-Chief, Civil Rights (EDNY)",10,"Bush II, Clinton"
Richard,Cohen,"Assistant United States Attorney, Asset Forfeiture Coordinator, WD Washington  ",37.5,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Norman,Cohen,Assistant United States Attorney,3,Nixon
Eugene ,Cohen,Senior Trial Counsel,5,Clinton
Brent ,Cohen,Senior Advisor to the Assistant Attorney General,2.5,Obama
Michael,Cohn,"Trial Attorney, Civil Division",4,Ford
Barbara ,Colby Tanase,Assistant United States Attorney Supervisor Branch Offices EDMI,29,"Obama, Bush II, Clinton, Bush I"
William,Cole,Attorney,30,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Sandra,Coleman,Assistant Director of United States Trustees Program,24,"Bush II, Clinton, Bush I, Reagan, Carter"
Matthew,Collette,"Deputy Director, Appellate Staff, Civil Division",30,"Trump, Obama, Bush II, Clinton, Bush I"
David,Collins,"Civil Chief, District of Maine",30,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Patricia,Collins,"Assistant United States Attorney, Central District of CA, Chief Major Crimes Division",6,Reagan
Wendy,Collins,Trial Attorney ,3,"Reagan, Carter"
Sharon,Collins,"Sr. Appellate Counsel, Criminal Division, USAO, D.C.",7,"Bush I, Reagan"
Sharon,Collins,"Senior Appellate Counsel, Criminal Division, USAO, DC",7,"Bush I, Reagan"
Arthur,"Collins, Jr.","Associate Director, Planning, Budget, and Evaluation,  Community Relations Service",5,"Clinton, Bush I"
Glenn,Colton,Assistant United States Attorney SDNY (Criminal and Civil Divisions),10,"Bush II, Clinton"
Eric,Columbus,Senior Counsel to the Deputy Attorney General,6,"Obama, Bush II, Clinton"
Paula,Conan,Assistant United States Attorney,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
William,Connelly,"Special Trial Counsel, Internal Security Division ",3,Nixon
Marie-Therese,Connolly,"Coordinator, Elder Justice Initiative, Senior Trial Counsel, Civil Division",22,"Bush II, Clinton, Bush I, Reagan"
Nicholas,Connor,"Trial Attorney, Public Integrity Section",3,"Trump, Obama"
Terence,Connor,Trial Attorney,3,"Ford, Nixon"
Mark,Conrad,Assistant United States Attorney,4,Obama
Jan,Constantine,"Deputy Chief, Civil Division, EDNY",5,"Reagan, Carter"
Sally,Conway,Deputy Chief,23,"Obama, Bush II, Clinton"
James,Conway,Associate Chief Criminal Division Northern District of Illinois,29,"Obama, Bush II, Clinton, Bush I, Reagan"
Richard ,Cook,Assistant United States Attorney ,3,Reagan
James ,Cooper,"Deputy Chief, Criminal Division, USAO DC",13,"Bush II, Clinton"
Dean,Cooper,Senior Trial Attorney,5,"Clinton, Bush I"
Charlie,Cooper,Assistant United States Attorney,5,"Trump, Obama"
Jeffrey,Coopersmith,"Deputy Supervisor, Complex Crimes, US Attorney’s Office W.D.WA",8,"Bush II, Clinton"
Peter,Coppelman,"Principal Deputy Assistant Attorney General, Environment and Natural Resources Division",9,"Clinton, Carter"
Ellen,Corcella,"Chief, General Crimes",9,"Clinton, Bush I"
Paul,Corcoran,"Deputy Chief of Criminal Division , EDNY",5,"Carter, Nixon"
John,Cordes,"Assistant Director, Appellate Staff, Civil Division",13.5,"Bush I, Reagan, Carter, Ford"
Bernice,Corman,Trial Attorney,13,"Obama, Bush II, Clinton"
Leslie ,Cornfeld ,"Deputy Chief, Criminal Civil Rights Division ",7,Clinton
Barbara,Corprew,"Deputy Chief, Criminal Fraud Section",34,"Obama, Bush II, Clinton, Bush I, Reagan"
Paul,Corradini,Assistant United States Attorney,12,"Reagan, Carter, Ford, Nixon"
Michael,Cotter,United States Attorney (Montana),8,"Trump, Obama"
Patrick ,Cotter,"Assistant United States Attorney, EDNY",7,"Bush I, Reagan"
Jerry,Coughlan,Assistant US Attorney,10,"Reagan, Carter, Ford, Nixon"
Robert,Courtney,"Chief, Organized Strike Force, ED Pa",38,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Colleen,Covell,Assistant United States Attorney,19.5,"Trump, Obama, Bush II, Clinton"
Joseph,Covington,"Assistant Section Chief, Criminal Fraud Section",12,"Reagan, Carter, Ford, Nixon"
Andrew,Cowan,Assistant United States Attorney,12,"Bush II, Clinton"
Susan,Cowger,Senior Litigation Counsel,23,"Obama, Bush II, Clinton, Bush I"
James,Cowles,"Assistant United States Attorney, Lead OCDETF",32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
John,Cowles,Assistant United States Attorney,13,"Trump, Obama, Bush II"
Howard,Cox,"Assistant Deputy Chief, CCIPS",6,"Obama, Bush II"
Marianne ,Cox,Assistant United States Attorney ,11,"Obama, Bush II"
William ,Craco,"Deputy Chief, Criminal Division, Southern District of New York",10,"Bush II, Clinton"
Sara,Criscitelli,"Assistant Director, Office of International Affairs",27,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Mollie,Crosby Nichols,Assistant United States Attorney,7,"Clinton, Bush I, Reagan"
Robert,Crouch,"United States Attorney, Western District of Virginia",7.5,Clinton
Matthew,Crowl,"Deputy Chief, United States Attorney’s Office, Northern District of Illinois ",11,"Bush II, Clinton, Bush I"
Joan,Crum,"Deputy Director, Information Technology",15,"Obama, Bush II, Clinton"
Daniel,Crumby,Assistant United States Attorney,5,Obama
Amanda,Cruser,Trial Attorney,5,"Bush II, Clinton"
Stephen,Csontos,Legislative Counsel and Ethics Officer,39,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Brooke ,Cucinella,Assistant United States Attorney ,6,"Trump, Obama"
Paul D,Cullen,Trial Lawyer - Civil Division,3,Nixon
Katherine,Culliton-Gonzalez,Senior Attorney,5,"Obama, Bush II"
Nelson,Cunningham,Assistant United States Attorney,6,"Clinton, Bush I, Reagan"
Cheri,Cunningham,Trial Attorney,1,Reagan
Douglas,Curless,"Assistant United States Attorney; Associate General Counsel, Criminal Litigation, FBOP (CA and DC) ",29,"Obama, Bush II, Clinton, Bush I, Reagan"
Margaret E.,Curran,United States Attorney,17,"Bush II, Clinton, Bush I, Reagan"
Kelly,Currie,"Acting United States Attorney, EDNY",13,"Obama, Bush II, Clinton"
William,Currier,Assistant United States Attorney,5,"Reagan, Carter"
Barbara,Curry,Assistant United States Attorney,9,"Clinton, Bush I"
Richard,Cutler,Assistant United States Attorney,11,"Bush II, Clinton, Bush I"
Karen,Czapanskiy,Attorney-Advisor,5,"Reagan, Carter"
John F,Daly,"Attorney, Civil Appellate Staff",13,"Clinton, Bush I, Reagan"
Lisa,Damiano,Trial Attorney ,10,"Trump, Obama"
Sarang (Sy),Damle,"Attorney, Civil Division, Appellate Staff",7,"Obama, Bush II"
Wayne,Dance,Assistant United States Attorney (D. Utah),23,"Bush II, Clinton, Bush I, Reagan"
Howard,Daniels,"Chief, Civil Fraud Section",29,"Obama, Bush II, Clinton, Bush I"
William,Danks,Assistant United States Attorney District of Colorado,4,Carter
Antonia,Darling,Assistant United States Trustee,34,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Mary Jude,Darrow,Assistant United States Attorney,14,"Bush II, Clinton, Bush I"
Margaret ,David,Trial Attorney,3.5,Clinton
Mark,Davies,"Trial Attorney, Appellate Staff, Civil Division",7,"Bush II, Clinton"
Mary McGowan,Davis,"Chief, Appeals Division, EDNY",8,"Reagan, Carter"
Frederick ,Davis,Chief Appellate Attorney,4,"Carter, Ford"
Donald,Davis,United States Attorney,40,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Gabe,Davis,Trial Attorney ,3.5,"Trump, Obama"
Stan,Davis,Assistant United States Attorney,4,"Reagan, Carter"
Ronald,Davis,"Director, Office of Community Oriented Policing Services (COPS)",3.5,Obama
Virginia,Davis,"Deputy Director, Office on Violence Against Women",3,Obama
Richard,Davis,"Assistant United States Attorney, Assistant Watergate Special Prosecutor",5,"Ford, Nixon"
Ellen,Davis,Assistant United States Attorney,5,"Obama, Clinton"
Alison,Daw,Immigration Judge,19,"Trump, Obama, Bush II, Clinton"
Deborah,Dawson,"Special Assistant to the Deputy Assistant Attorneys General, Tax Division",9,"Reagan, Carter"
Elizabeth,Dawson,Trial Attorney,5,"Trump, Obama"
Flem,De Graffenried,"Trial Attorney, Tax Division",5,Nixon
Gilberto,de Jesus,"Assistant United States Attorney, District of Columbia",11,"Clinton, Bush I"
Patrick,De Klotz,Attorney Advisor,4.8,Obama
Elizabeth,de la Vega,"Chief, San Jose Branch, USAO ND Ca. ",23,"Bush II, Clinton, Bush I, Reagan"
Adria ,De Landri ,Assistant United States Attorney,9,"Clinton, Bush I"
Hong,Dea,Assistant United States Attorney for the Southern District of New York,18,"Bush II, Clinton, Bush I"
Patrick,Deady,Assistant United States Attorney,10,"Reagan, Carter"
John W.,Dean,Associate Deputy Attorney General,2,Nixon
Tom,DeCair,Special Assistant to the Attorney General and Director of Public Affairs,4,Reagan
Janet,DeCosta,Trial Attorney/Supervisory Assistant United States Attorney,5,"Reagan, Carter"
Diane,Deforest,Assistant United States Attorney,11,"Bush II, Clinton, Reagan"
John,Deits,Drug Unit Chief,24,"Obama, Bush II, Clinton, Bush I"
Bert,Deixler,Assistant United States Attorney ,3,Carter
Pedro,deLemos,Senior Trial Attorney,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Bernard,Delia,Associate Deputy Attorney General and White House Liaison,26,"Trump, Obama, Bush II, Clinton"
Jacques,deLisle,"Attorney-Adviser, Office of Legal Counsel",2,"Clinton, Bush I"
Michelle,DeLong,Assistant United States Attorney,6,"Clinton, Bush I"
Luke,Dembosky,Deputy Assistant Attorney General,14,"Obama, Bush II"
Jeffrey ,Demerath,Assistant United States Attorney for the District of Columbia,6,"Carter, Ford, Nixon"
Stuart,Deming,Trial Attorney ,6,"Bush I, Reagan, Carter"
Michael,Denton,Trial Attorney,2,Reagan
James,Denvir,"Chief, AT&T Trial Team",9,"Reagan, Carter, Ford"
Ronald,DePetris,"Chief Assistant United States Attorney, EDNY",10,"Reagan, Carter, Ford, Nixon"
Joseph,DePietro,Assistant United States Attorney,6,Reagan
Pamela,DeRusha,First Assistant United States Attorney,22,"Obama, Bush II"
Nirav,Desai,Assistant United States Attorney,6,"Trump, Obama"
Christine,Desan,Assistant to the Solicitor General,2,Bush I
George D,DeShazor Jr,"SSA, FBI",20,"Obama, Bush II, Clinton, Bush I"
Duane,Deskins,Assistant United States Attorney,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Larry,Dessem,Senior Trial Counsel,5,"Reagan, Carter"
Steven,Dettelbach,United States Attorney ,21,"Obama, Bush II, Clinton, Bush I"
Michael,Dettmer,USA W.D. MI,7,Clinton
Ann,Deutscher,Consultant,3,Bush II
Kathleen,Devine,Special Legal Counsel,29,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Stephen ,Dichter ,Assistant United States Attorney,6,"Carter, Ford"
John ,DiCicco,"Acting Assistant Attorney General, Tax Division",37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
David,Dickieson,"Senior Trial Attorney, Tax Division",4,"Bush I, Reagan"
Murray ,Dickman,Assistant to the Attorney General,3,"Bush I, Reagan"
Robert,Diegelman,Deputy Asstistant Attorney General,30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Debra,Diener,Assistant United States Attorney for the District of Columbia,4,Reagan
Matthew,Diggs,Assistant United States Attorney,12,"Trump, Obama, Bush II"
Carla,Diggs Smith,Assistant United States Attorney,8,"Bush II, Clinton"
W. Thomas,Dillard,United States Attorney,18,"Reagan, Carter, Ford, Nixon, Johnson"
Paul,Diller,Trial Attorney,3,Bush II
Dennis,Dimsey,"Deputy Chief, Appellate Section, Civil Rights Division",44,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Ernest,DiSantis,Assistant United States Attorney,5.9,"Clinton, Bush I"
